ra,dec,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
30.6747996286137,-3.31974351672233,3,25.03673,23.42377,22.3861,21.92133,21.58403,1.024968,0.2205717,0.1609767,0.1621537,0.2989343,25.08737,22.97182,22.06902,21.55371,21.2826,1.346778,0.2108449,0.1647978,0.1592336,0.4064524
30.6753308655798,-3.26862385853673,3,26.23718,23.31427,23.11675,24.19308,22.56256,0.4656365,0.1992034,0.3115327,0.7669886,0.613921,26.65804,23.1085,22.83025,24.28599,22.50659,0.3958074,0.2158067,0.3006111,0.959327,0.7760242
30.6744895129502,-3.35177860315961,6,22.60529,21.63556,21.34567,21.20804,21.15404,0.344997,0.05174747,0.06563696,0.08601721,0.250497,22.57194,21.57321,21.26041,21.14034,21.13562,0.3645401,0.05299606,0.06536065,0.08803879,0.2768155
30.7822483146688,-3.19235735174005,3,24.70222,24.6741,23.23417,22.08138,21.94748,1.362215,0.789466,0.3963364,0.1935605,0.7063796,24.04385,24.63899,22.79225,21.41663,21.7335,1.883698,1.268083,0.4876628,0.2008581,1.037954
30.7350234825478,-3.20304432246332,6,25.96899,22.81788,21.41958,20.84405,20.49455,0.718063,0.2108225,0.08453995,0.08831394,0.220872,26.12442,22.86482,21.43693,20.84055,20.53269,0.6389886,0.2225676,0.08681269,0.06718505,0.2322574
30.7355739332561,-3.23383892674137,6,24.56263,23.03185,22.42736,22.94999,23.29172,1.403434,0.2984634,0.224291,0.9358908,0.8666887,24.66553,23.09461,22.45417,22.93113,23.24872,1.380617,0.2785531,0.213566,0.4053477,0.8918561
30.734811056046,-3.23414217430302,6,22.84241,21.39161,21.21369,21.23528,20.98013,0.4770277,0.06640944,0.07359424,0.08919443,0.3385596,22.89383,21.38146,21.16128,21.17539,21.01746,0.5598217,0.06433719,0.0716816,0.09520692,0.3728594
30.7347557997673,-3.23859200089586,3,22.15979,21.47891,21.11829,20.99433,20.80681,0.2446559,0.07152675,0.06795181,0.07838572,0.2943211,22.00948,21.22916,20.73618,20.48919,20.5751,0.3058546,0.06506724,0.0610664,0.06828889,0.3102982
30.6752854050686,-3.1900869980845,6,22.76394,22.70917,22.65183,21.84809,21.52998,0.4634579,0.1958891,0.2493462,0.1594241,0.532482,22.94799,22.67937,22.53959,21.74257,21.60305,0.5749153,0.2029021,0.2533456,0.1664274,0.6200322
30.6746972726781,-3.15639823430832,6,22.93511,22.80902,22.48344,21.41816,20.30177,0.5261315,0.2128909,0.2138347,0.1099413,0.1889149,22.83866,22.87062,22.5272,21.3759,20.34307,0.493708,0.229147,0.2341812,0.1104887,0.2016547
30.6749207213907,-3.17589117082632,6,23.44364,23.09975,21.59355,21.50062,21.17707,0.7920122,0.2425018,0.09859686,0.118417,0.4014451,23.65849,23.16684,21.53946,21.47215,21.03839,0.9631557,0.3014243,0.1009313,0.1246664,0.377074
30.6756783622141,-3.24931964133303,6,24.74281,25.00564,22.40925,22.18279,21.67866,1.282358,0.8689405,0.2009829,0.2122332,0.6014889,25.3686,25.37852,22.31875,22.07228,21.63967,1.125591,0.9274362,0.2116202,0.2239803,0.6468444
30.7833712554905,-3.29120419923933,3,23.91139,23.65501,22.65324,22.02652,21.43462,0.9035979,0.2586414,0.202746,0.1804436,0.3142301,23.53928,23.29828,22.30147,21.8644,21.22518,0.9231274,0.2616049,0.1943497,0.2023098,0.3685929
30.7827049664845,-3.3001099457258,3,23.38259,23.64342,22.09506,21.41744,20.73083,0.6474345,0.2568184,0.1245628,0.1053813,0.1753031,23.36162,23.57578,22.04514,21.34662,20.63873,0.6786036,0.2674877,0.1275504,0.1065866,0.1825274
30.7356055822567,-3.25660558598081,6,23.90994,22.64181,22.53221,21.94455,21.83804,0.556402,0.1137391,0.2013279,0.1821128,0.7834765,24.06848,22.66082,22.55317,21.97165,21.81667,1.001823,0.1192566,0.1968586,0.1803978,0.4358227
